LEFT,RIGHT
-0.474284, -0.085981
-0.473043, -0.085976
-0.472801, -0.085971
-0.472560, -0.085966
-0.473318, -0.086960
-0.474076, -0.086954
-0.473833, -0.085949
-0.474591, -0.085943
-0.474348, -0.085938
-0.473105, -0.085932
-0.472863, -0.085927
-0.472620, -0.085921
-0.473378, -0.085915
-0.473135, -0.085910
-0.472892, -0.083905
-0.472649, -0.083900
-0.472406, -0.083895
-0.473163, -0.083891
-0.472919, -0.083886
-0.479674, -0.088880
-0.488425, -0.097870
-0.490173, -0.100858
-0.490921, -0.100844
-0.491668, -0.100831
-0.491415, -0.100818
-0.492161, -0.100804
-0.494907, -0.100791
-0.497651, -0.100778
-0.498394, -0.100764
-0.499137, -0.100751
-0.498880, -0.099737
-0.498622, -0.099724
-0.499364, -0.099711
-0.500106, -0.098698
-0.501847, -0.097686
-0.503587, -0.097674
-0.504326, -0.097661
-0.505065, -0.097649
-0.504803, -0.097637
-0.504542, -0.098624
-0.504280, -0.099611
-0.505019, -0.099598
-0.506756, -0.099584
-0.506493, -0.099571
-0.505231, -0.099558
-0.504968, -0.098544
-0.504706, -0.097532
-0.507443, -0.096519
-0.509178, -0.096507
-0.508913, -0.096495
-0.512647, -0.097483
-0.515380, -0.098470
-0.517111, -0.098456
-0.517841, -0.098443
-0.518571, -0.098430
-0.518301, -0.098417
-0.517031, -0.098403
-0.516761, -0.098390
-0.516492, -0.097377
-0.517222, -0.097364
-0.517951, -0.097351
-0.517680, -0.096338
-0.517410, -0.095326
-0.516139, -0.093314
-0.515869, -0.093303
-0.515599, -0.093292
-0.515328, -0.093281
-0.516058, -0.093270
-0.515787, -0.093258
-0.515516, -0.094247
-0.515245, -0.094235
-0.514975, -0.093223
-0.516703, -0.093212
-0.516432, -0.093201
-0.515160, -0.093189
-0.513889, -0.094178
-0.515618, -0.097165
-0.519345, -0.100151
-0.521071, -0.100136
-0.521796, -0.100121
-0.521521, -0.100106
-0.522246, -0.099091
-0.523970, -0.099076
-0.523693, -0.098062
-0.522417, -0.097048
-0.521141, -0.096035
